#elems=864
#nodes=473

#map
       249       132       146       152
       250       128       137       158
       251       141       121       150
       252       146       147       159
       253       123       152       143
       254       130       139       160
       255       144       124       153
       256       145       125       155
       257       157       151       161
       258       149       128       158
       259       127       148       156
       260       147       157       159
       261       126       133       162
       262       152       146       163
       263       134       143       164
       264       146       159       163
       265       136       144       165
       266       150       130       160
       267       137       145       166
       268       157       161       167
       269       139       149       168
       270       143       152       169
       271       159       157       170
       272       153       134       164
       273       140       154       171
       274       148       141       172
       275       155       136       165
       276       152       163       169
       277       133       156       162
       278       167       161       173
       279       163       159       174
       280       158       137       166
       281       141       150       175
       282       157       167       170
       283       160       139       168
       284       144       153       176
       285       143       169       164
       286       159       170       174
       287       145       155       177
       288       167       173       178
       289       169       163       174
       290       156       148       179
       291       149       158       180
       292       126       162       154
       293       170       167       181
       294       165       144       176
       295       150       160       182
       296       178       173       183
       297       166       145       177
       298       174       170       184
       299       172       141       175
       300       169       174       185
       301       167       178       181
       302       168       149       180
       303       171       154       186
       304       153       164       187
       305       148       172       179
       306       164       169       185
       307       155       165       188
       308       162       156       189
       309       178       183       190
       310       170       181       184
       311       158       166       191
       312       175       150       182
       313       174       184       185
       314       181       178       192
       315       160       168       193
       316       176       153       187
       317       190       183       194
       318       177       155       188
       319       164       185       187
       320       184       181       195
       321       178       190       192
       322       180       158       191
       323       154       162       196
       324       156       179       189
       325       185       184       197
       326       165       176       198
       327       182       160       193
       328       190       194       199
       329       181       192       195
       330       166       177       200
       331       172       175       201
       332       168       180       202
       333       184       195       197
       334       171       186       203
       335       192       190       204
       336       187       185       205
       337       185       197       205
       338       179       172       206
       339       162       189       196
       340       199       194       207
       341       188       165       198
       342       191       166       200
       343       175       182       208
       344       190       199       204
       345       176       187       209
       346       195       192       210
       347       193       168       202
       348       197       195       211
       349       199       207       212
       350       192       204       210
       351       177       188       213
       352       187       205       209
       353       154       196       186
       354       205       197       214
       355       189       179       215
       356       180       191       216
       357       204       199       217
       358       176       209       198
       359       195       210       211
       360       172       201       206
       361       212       207       218
       362       182       193       219
       363       201       175       208
       364       197       211       214
       365       200       177       213
       366       199       212       217
       367       210       204       220
       368       202       180       216
       369       209       205       214
       370       203       186       221
       371       179       206       215
       372       212       218       222
       373       196       189       223
       374       211       210       224
       375       204       217       220
       376       188       198       225
       377       191       200       226
       378       208       182       219
       379       214       211       227
       380       209       214       228
       381       217       212       229
       382       210       220       224
       383       198       209       228
       384       193       202       230
       385       222       218       231
       386       213       188       225
       387       212       222       229
       388       186       196       232
       389       211       224       227
       390       220       217       233
       391       216       191       226
       392       189       215       223
       393       214       227       228
       394       222       231       234
       395       206       201       235
       396       198       228       225
       397       217       229       233
       398       219       193       230
       399       224       220       236
       400       201       208       235
       401       200       213       237
       402       203       221       238
       403       202       216       239
       404       227       224       240
       405       229       222       241
       406       220       233       236
       407       215       206       242
       408       234       231       243
       409       228       227       244
       410       196       223       232
       411       222       234       241
       412       208       219       245
       413       226       200       237
       414       233       229       246
       415       224       236       240
       416       230       202       239
       417       234       243       247
       418       227       240       244
       419       229       241       246
       420       225       228       248
       421       236       233       249
       422       228       244       248
       423       213       225       250
       424       186       232       221
       425       223       215       251
       426       216       226       252
       427       241       234       253
       428       233       246       249
       429       206       235       242
       430       240       236       254
       431       247       243       255
       432       235       208       245
       433       219       230       256
       434       244       240       257
       435       234       247       253
       436       237       213       250
       437       246       241       258
       438       236       249       254
       439       238       221       259
       440       225       248       250
       441       239       216       252
       442       248       244       260
       443       247       255       261
       444       232       223       262
       445       215       242       251
       446       241       253       258
       447       240       254       257
       448       249       246       263
       449       245       219       256
       450       226       237       264
       451       244       257       260
       452       253       247       265
       453       246       258       263
       454       254       249       266
       455       230       239       267
       456       261       255       268
       457       250       248       260
       458       247       261       265
       459       221       232       269
       460       258       253       270
       461       257       254       271
       462       249       263       266
       463       223       251       262
       464       252       226       264
       465       237       250       272
       466       242       235       273
       467       260       257       274
       468       261       268       275
       469       250       276       272
       470       253       265       270
       471       235       245       277
       472       263       258       278
       473       256       230       267
       474       254       266       271
       475       238       259       279
       476       265       261       280
       477       257       271       274
       478       258       270       278
       479       239       252       281
       480       266       263       282
       481       275       268       283
       482       232       262       269
       483       251       242       284
       484       237       272       264
       485       260       274       276
       486       250       260       276
       487       261       275       280
       488       270       265       285
       489       245       256       286
       490       263       278       282
       491       271       266       287
       492       275       283       288
       493       267       239       281
       494       265       280       285
       495       274       271       289
       496       278       270       290
       497       266       282       287
       498       273       235       277
       499       221       269       259
       500       276       274       291
       501       262       251       292
       502       272       276       293
       503       280       275       294
       504       252       264       295
       505       242       273       284
       506       270       285       290
       507       271       287       289
       508       282       278       296
       509       288       283       297
       510       277       245       286
       511       264       272       293
       512       256       267       298
       513       275       288       294
       514       274       289       291
       515       285       280       299
       516       278       290       296
       517       279       259       300
       518       287       282       301
       519       276       291       293
       520       281       252       295
       521       288       297       302
       522       269       262       303
